Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
11770,2,40227.2,4/19/2016,6/1/2024,2965
11790,2,43118.4,5/3/2016,6/1/2024,2951
11760,4,47673.6,8/16/2016,6/1/2024,2846
11820,2,47652.8,9/20/2016,6/1/2024,2811
11760,4,59592,11/29/2016,6/1/2024,2741
12100,4,55910.4,1/31/2017,6/1/2024,2678
12060,3,47299.2,2/28/2017,6/1/2024,2650
11770,2,44720,3/7/2017,6/1/2024,2643
11820,2,47736,4/4/2017,6/1/2024,2615
11830,4,51896,5/2/2017,6/1/2024,2587
11780,3,49233.6,5/30/2017,6/1/2024,2559
11700,3,48027.2,6/27/2017,6/1/2024,2531
11790,2,45219.2,7/18/2017,6/1/2024,2510
12110,3,55328,10/23/2017,6/1/2024,2413
11780,3,47424,12/4/2017,6/1/2024,2371
12100,4,63564.8,12/11/2017,6/1/2024,2364
11770,2,44262.4,1/2/2018,6/1/2024,2342
11770,2,44262.4,1/8/2018,6/1/2024,2336
11700,3,49004.8,5/29/2018,6/1/2024,2195
11800,3,47590.4,5/29/2018,6/1/2024,2195
12110,3,53476.8,6/18/2018,6/1/2024,2175
12110,3,54184,6/25/2018,6/1/2024,2168
11700,3,48318.4,7/30/2018,6/1/2024,2133
12020,2,41891.2,9/5/2018,6/1/2024,2096
11780,3,50710.4,9/5/2018,6/1/2024,2096
11700,3,47403.2,9/24/2018,6/1/2024,2077
11780,3,53435.2,10/15/2018,6/1/2024,2056
11760,4,51563.2,10/22/2018,6/1/2024,2049
11800,3,52312,11/26/2018,6/1/2024,2014
11780,3,44865.6,11/26/2018,6/1/2024,2014
11700,3,48484.8,12/10/2018,6/1/2024,2000
11570,2,49691.2,12/10/2018,6/1/2024,2000
11710,2,45011.2,12/10/2018,6/1/2024,2000
11770,2,42910.4,12/10/2018,6/1/2024,2000
11600,1,40040,1/21/2019,6/1/2024,1958
11780,3,45947.2,1/28/2019,6/1/2024,1951
11820,2,45656,2/4/2019,6/1/2024,1944
11710,2,44033.6,2/18/2019,6/1/2024,1930
11790,2,44304,2/25/2019,6/1/2024,1923
12430,4,51251.2,3/18/2019,6/1/2024,1902
11820,2,45531.2,4/1/2019,6/1/2024,1888
11770,2,43347.2,6/24/2019,6/1/2024,1804
11770,2,41662.4,7/8/2019,6/1/2024,1790
11770,2,43763.2,8/19/2019,6/1/2024,1748
11780,3,45198.4,10/21/2019,6/1/2024,1685
11780,3,47049.6,10/21/2019,6/1/2024,1685
12020,2,42182.4,11/18/2019,6/1/2024,1657
11780,3,44782.4,12/2/2019,6/1/2024,1643
11700,3,44012.8,12/16/2019,6/1/2024,1629
11820,2,38688,1/13/2020,6/1/2024,1601
11800,3,45947.2,1/13/2020,6/1/2024,1601
11820,2,43763.2,1/27/2020,6/1/2024,1587
12060,3,40414.4,3/2/2020,6/1/2024,1552
12480,4,46633.6,3/9/2020,6/1/2024,1545
11700,3,46508.8,3/9/2020,6/1/2024,1545
11760,4,51916.8,3/23/2020,6/1/2024,1531
11700,3,47756.8,3/31/2020,6/1/2024,1523
12430,4,53227.2,4/6/2020,6/1/2024,1517
